send_monotonic_sec,elapsed_sec,sequence,source,risk_level,pattern,active,requested_magnitude,reason
979.865068159,1.000734943999987,0,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
979.899538106,1.0352048910000349,1,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
979.933095234,1.0687620190000189,2,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
979.966740428,1.1024072129999922,3,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.000389685,1.1360564699999713,4,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.033993126,1.1696599110000534,5,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.067595264,1.2032620490000454,6,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.101170239,1.2368370240000104,7,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.134753825,1.2704206099999737,8,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.168399018,1.3040658029999577,9,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.20199656,1.33766334500001,10,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.23565144,1.3713182249999818,11,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.269305927,1.404972712000017,12,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.303052734,1.4387195189999602,13,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.336709485,1.4723762700000407,14,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
980.370353084,1.5060198690000561,15,bird_eye,0,0,0,0.0,probe_clear
980.390665122,1.5263319069999852,16,bird_eye,0,0,0,0.0,probe_clear
980.410919999,1.5465867840000556,17,bird_eye,0,0,0,0.0,probe_clear
