send_monotonic_sec,elapsed_sec,sequence,source,risk_level,pattern,active,requested_magnitude,reason
1699.94267988,1.0005508110000392,0,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
1699.976370264,1.0342411950000496,1,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
1700.010048158,1.0679190890000427,2,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
1700.043616689,1.1014876199999435,3,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
1700.07716403,1.135034960999974,4,bird_eye,0,0,0,0.0,probe_clear
1700.11073166,1.1686025910000808,5,bird_eye,0,0,0,0.0,probe_clear
1700.144318664,1.2021895949999362,6,bird_eye,0,0,0,0.0,probe_clear
1700.177910481,1.2357814120000512,7,bird_eye,0,0,0,0.0,probe_clear
1700.21156216,1.26943309100011,8,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
1700.245228062,1.3030989930000487,9,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
1700.278922987,1.3367939180000121,10,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
1700.312564667,1.3704355980000855,11,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
1700.346180356,1.4040512870001294,12,bird_eye,0,0,0,0.0,probe_clear
1700.379844225,1.4377151559999675,13,bird_eye,0,0,0,0.0,probe_clear
1700.413415259,1.4712861900000007,14,bird_eye,0,0,0,0.0,probe_clear
1700.446990157,1.5048610880000979,15,bird_eye,0,0,0,0.0,probe_clear
1700.467258402,1.5251293329999953,16,bird_eye,0,0,0,0.0,probe_clear
1700.487496773,1.5453677040000002,17,bird_eye,0,0,0,0.0,probe_clear
