receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
1699.944168132,1.0020390629999838,1789536812.6636693,1,0,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:double,0
1699.977233898,1.0351048289999198,1789536812.6969762,1,1,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:double,0
1700.0108885,1.0687594309999895,1789536812.7306647,1,2,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:double,0
1700.044253249,1.1021241799999189,1789536812.7640564,1,3,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:double,0
1700.077779404,1.1356503350000366,1789536812.797581,1,4,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
1700.11133021,1.1692011410000305,1789536812.831121,1,5,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
1700.144901423,1.2027723539999897,1789536812.8647027,1,6,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
1700.178936845,1.2368077759999778,1789536812.898674,1,7,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
1700.212696103,1.2705670340001234,1789536812.9323626,1,8,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:double,0
1700.246377761,1.304248692000101,1789536812.9659753,1,9,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:double,0
1700.279937631,1.3378085619999638,1789536812.9995227,1,10,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:double,0
1700.31349413,1.3713650610000059,1789536813.033164,1,11,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:double,0
1700.347126779,1.4049977100000888,1789536813.066765,1,12,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
1700.380818364,1.438689295000131,1789536813.1004503,1,13,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
1700.414067232,1.4719381630000044,1789536813.1338992,1,14,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
1700.447707628,1.5055785590000141,1789536813.167489,1,15,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
1700.467975508,1.5258464390001336,1789536813.187784,1,16,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
1700.488265217,1.5461361479999596,1789536813.208073,1,17,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
