send_monotonic_sec,elapsed_sec,sequence,source,risk_level,pattern,active,requested_magnitude,reason
2411.625228776,1.0007198759999483,0,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
2411.658886269,1.0343773690001399,1,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
2411.692487216,1.0679783159998806,2,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
2411.726062646,1.1015537460002633,3,bird_eye,0,0,0,0.0,probe_clear
2411.75961852,1.1351096200000939,4,bird_eye,0,0,0,0.0,probe_clear
2411.793276674,1.1687677740001163,5,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
2411.826887258,1.20237835800026,6,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
2411.860563492,1.2360545920000732,7,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
2411.894276311,1.2697674109999753,8,bird_eye,0,0,0,0.0,probe_clear
2411.92787279,1.3033638900001279,9,bird_eye,0,0,0,0.0,probe_clear
2411.961479844,1.3369709440003135,10,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
2411.995132546,1.3706236460002401,11,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
2412.028693101,1.4041842010001346,12,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
2412.062329106,1.4378202060001968,13,bird_eye,0,0,0,0.0,probe_clear
2412.095989064,1.4714801640002406,14,bird_eye,0,0,0,0.0,probe_clear
2412.129590127,1.5050812270001188,15,bird_eye,0,0,0,0.0,probe_clear
2412.14986782,1.5253589200001443,16,bird_eye,0,0,0,0.0,probe_clear
2412.170262239,1.5457533389999298,17,bird_eye,0,0,0,0.0,probe_clear
