receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
2411.626850275,1.0023413750000145,1789537524.3462946,1,0,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2411.659809766,1.0353008659999432,1789537524.379539,1,1,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2411.69322743,1.0687185300002966,1789537524.4130964,1,2,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2411.726683166,1.10217426600002,1789537524.4465346,1,3,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
2411.760369274,1.1358603740000035,1789537524.4801297,1,4,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
2411.794453888,1.1699449880002248,1789537524.513969,1,5,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2411.827778816,1.2032699159999538,1789537524.5475774,1,6,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2411.861600927,1.237092027000017,1789537524.5813913,1,7,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2411.895207343,1.2706984430001285,1789537524.6148329,1,8,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
2411.928603344,1.3040944439999294,1789537524.6484365,1,9,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
2411.962339568,1.3378306680001515,1789537524.6821346,1,10,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2411.996224943,1.3717160430001059,1789537524.7159417,1,11,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2412.029625233,1.4051163330000236,1789537524.7495096,1,12,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2412.063242912,1.4387340120001681,1789537524.7829967,1,13,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
2412.096939884,1.4724309840003116,1789537524.816658,1,14,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
2412.130637362,1.506128462000106,1789537524.8503962,1,15,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
2412.150860955,1.5263520550001886,1789537524.8706255,1,16,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
2412.171175426,1.546666526000081,1789537524.8909702,1,17,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
